fecha_registro,ciudad,barrio_original,barrio_estandarizado,altura_domicilio,tipo_vivienda,integrantes_familia,tipo_mascota,tipo_mascota_[Gatos],tipo_mascota_[Perros],perros_macho,perros_hembra,total_perros,gatos_macho,gatos_hembra,total_gatos,total_mascotas,mascota_castrada,lugar_castracion,lugar_castracion_[En forma particular],lugar_castracion_[Municipio],lugar_castracion_[No se encuentra castrada.],conoce_castracion_gratis,mascotas_vacunadas,mascotas_desparasitadas,conoce_plan_vacunacion,estilo_vida_mascota,estilo_vida_mascota_[Salen solos a la calle],estilo_vida_mascota_[Tienen identificador],estilo_vida_mascota_[Viven dentro de su hogar],frecuencia_callejeros,tipo_animal_abandonado,tipo_animal_abandonado_[Gatos],tipo_animal_abandonado_[Perros],medidas_exigidas_municipio,medidas_exigidas_municipio_[Castraciones masivas],medidas_exigidas_municipio_[Control de identificación],medidas_exigidas_municipio_[Educación],medidas_exigidas_municipio_[No es necesaria la participación del municipio],autopercepcion_responsabilidad
2026-03-05 21:40:00,San Francisco,Consolata,La Consolata,2699,Casa Propia,2,Perros,,Perros,1,0,1,0,0,0,1,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-03-11 19:00:05,San Francisco,Independencia ,Independencia,3300,Casa Propia,2,Perros,,Perros,1,0,1,0,0,0,1,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Tienen identificador | Viven dentro de su hogar,,Tienen identificador,Viven dentro de su hogar,Todo el tiempo,Gatos | Perros,Gatos,Perros,Control de identificación | Educación,,Control de identificación,Educación,,Si
2026-03-11 21:05:09,San Francisco,Parque,Barrio Parque,1158,Casa en Alquiler,3,Perros,,Perros,0,1,1,0,0,0,1,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Gatos | Perros,Gatos,Perros,Educación,,,Educación,,Si
2026-03-11 21:05:52,San Francisco,Roca,General Roca,3164,Casa en Alquiler,2,Gatos | Perros,Gatos,Perros,0,3,3,3,0,3,6,Si,Municipio,,Municipio,,Si,Si,Si,No,Tienen identificador | Viven dentro de su hogar,,Tienen identificador,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-03-11 21:06:01,San Francisco,Velez Sarsfield ,Vélez Sarsfield,1300,Casa Propia,3,Perros,,Perros,1,1,2,0,0,0,2,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Control de identificación,,Control de identificación,,,Si
2026-03-11 21:06:48,San Francisco,El Prado,El Prado,2800,Casa Propia,2,Perros,,Perros,0,1,1,0,0,0,1,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Tienen identificador | Viven dentro de su hogar,,Tienen identificador,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas,Castraciones masivas,,,,Si
2026-03-11 21:08:24,San Francisco,El Prado,El Prado,1300,Casa Propia,4,Gatos | Perros,Gatos,Perros,1,1,2,1,0,1,3,Si,Municipio,,Municipio,,Si,Si,Si,No,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación,Castraciones masivas,Control de identificación,,,Si
2026-03-11 21:08:34,San Francisco,La Florida,La Florida,147,Casa Propia,3,Perros,,Perros,0,1,1,0,0,0,1,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,Si,Tienen identificador | Viven dentro de su hogar,,Tienen identificador,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-03-11 21:08:41,Frontera,Federal,Federal,1200,Casa Propia,2,Perros,,Perros,1,2,3,0,0,0,3,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación,Castraciones masivas,Control de identificación,,,Si
2026-03-11 21:09:52,San Francisco,Catedral,Catedral,400,Casa Propia,2,Gatos,Gatos,,1,0,1,1,0,1,2,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Gatos | Perros,Gatos,Perros,No es necesaria la participación del municipio,,,,No es necesaria la participación del municipio,No
2026-03-11 21:10:02,San Francisco,Jardin,Jardín,1221,Casa Propia,2,Gatos,Gatos,,0,0,0,0,1,1,1,Si,En forma particular,En forma particular,,,Si,No,Si,No,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Un poco
2026-03-11 21:10:16,San Francisco,El Prado ,El Prado,1157,Casa Propia,5,Gatos | Perros,Gatos,Perros,0,3,3,1,0,1,4,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación,Castraciones masivas,Control de identificación,,,Si
2026-03-11 21:11:05,San Francisco,Magdalena 1,Magdalena 1,1005,Casa Propia,3,Gatos | Perros,Gatos,Perros,0,1,1,2,1,3,4,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Gatos,Gatos,,Castraciones masivas,Castraciones masivas,,,,Si
2026-03-11 21:11:14,San Francisco,Catedral,Catedral,1777,Departamento en Alquiler,1,Gatos,Gatos,,0,0,0,0,1,1,1,Si,En forma particular,En forma particular,,,Si,No,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Gatos,Gatos,,Educación,,,Educación,,Si
2026-03-11 21:12:49,San Francisco,Velez sarsfield ,Vélez Sarsfield,1000,Casa Propia,5,Perros,,Perros,2,1,3,0,0,0,3,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Salen solos a la calle | Viven dentro de su hogar,Salen solos a la calle,,Viven dentro de su hogar,A veces,Perros,,Perros,Educación,,,Educación,,Si
2026-03-11 21:13:38,San Francisco,La Florida,La Florida,1100,Casa Propia,4,Perros,,Perros,0,1,1,0,0,0,1,Si,Municipio,,Municipio,,Si,Si,Si,No,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas,Castraciones masivas,,,,Si
2026-03-11 21:14:33,San Francisco,El prado ,El Prado,1003,Casa Propia,4,Perros,,Perros,2,3,5,0,0,0,5,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-03-11 21:17:54,San Francisco,Catedral,Catedral,1982,Casa en Alquiler,2,Gatos | Perros,Gatos,Perros,1,1,2,0,1,1,3,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Control de identificación,,Control de identificación,,,Si
2026-03-11 21:21:37,San Francisco,La Milka ,La Milka,472,Casa Propia,4,Gatos | Perros,Gatos,Perros,0,1,1,0,1,1,2,Si,Municipio,,Municipio,,Si,Si,Si,No,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación,Castraciones masivas,Control de identificación,,,Si
2026-03-11 21:22:10,San Francisco,Independencia ,Independencia,3231,Casa Propia,3,Perros,,Perros,0,1,1,0,0,0,1,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas | Control de identificación,Castraciones masivas,Control de identificación,,,Si
2026-03-11 21:23:41,Otra,Villa Luján Santo Tomé,Villa Luján,3738,Casa Propia,3,Perros,,Perros,1,0,1,0,0,0,1,Si,Municipio,,Municipio,,Si,No,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-03-11 21:24:16,San Francisco,Independencia ,Independencia,3993,Casa Propia,4,Gatos | Perros,Gatos,Perros,1,0,1,1,0,1,2,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-03-11 21:27:56,Otra,Morteros,Morteros,478,Casa Propia,6,Gatos | Perros,Gatos,Perros,0,2,2,0,1,1,3,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Gatos | Perros,Gatos,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-03-11 21:46:02,San Francisco,Magdalena 2,Magdalena 2,2640,Casa Propia,2,Gatos,Gatos,,0,0,0,0,2,2,2,Si,En forma particular | Municipio,En forma particular,Municipio,,Si,Si,Si,No,Salen solos a la calle | Viven dentro de su hogar,Salen solos a la calle,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
